sequence,1,2,3,4
0ff2cf30bdfdaa9b09878d64dfd4535f,8.064630817931151,-2.6157849896701686,-7.930045855656689, p__Acidobacteria
101b1e2a98c9c45ef2c1de294ddf66aa,-6.939394325512586,-2.3507705420134104,4.420488401850718, p__Acidobacteria
1031dabf842459d47c0abebe56950173,-3.238732073405409,15.609334113768444,-3.3885579195146955, p__Actinobacteria
103ea6163d06b91751ff7660827807c2,-7.1713020339579545,-8.465534570899505,-2.621576992060921, p__Acidobacteria
107f8d8995154e9e6916fbae8aab202b,-4.365588041293011,13.483356995218896,-4.562382467693555, p__Gemmatimonadetes
1085e2ede24f1e972fc2fe3715f84b8d,24.78148574377322,-5.695758399991869,-12.906261377141986, p__Acidobacteria
108bc4705513763083c88b85cb9f40d3,2.7745893663470405,-11.023496498114516,-6.434416514053354, p__Verrucomicrobia
108fef9049c97121b9b09e0ef3893503,0.7050720642417904,19.543294272522573,-5.480422992589403, p__Actinobacteria
109b329fac61d0264aaf481c739687dd,-0.7796623575225363,-10.144296002061836,-5.790309580861059, p__Proteobacteria
10f0174146caf74655bd7233672e18ae,3.6882658678910034,-3.3680800566950215,-0.2617156671775446, p__Gemmatimonadetes
10fd7cd8966e27e71d8aaba2043801bb,-1.4781970536818665,4.073386590619915,3.9016201299592574, p__Acidobacteria
111251337a872ee8025bf5b68e5100bb,3.117821380441102,-4.417629095719764,11.33997902331325, p__Acidobacteria
1116d2517429bcad42ab566283d1d1a6,11.501633756448237,-1.5123498716861112,12.23636833840582, p__Actinobacteria
112a883f67e250dbd3a920c2bd380450,-8.614298961686652,-4.010038295497203,3.2956863876212292, p__Verrucomicrobia
11700f8b13e20c90abbf523ccc350639,-9.102095650417073,-5.9160952021418804,1.17317431302991, p__Actinobacteria
117579cc3dd8eec736eb0343d5ebaa1d,-4.925379258300801,-0.42658086013340113,3.5282730036902032, p__Acidobacteria
118449421ba6727421cc97ccd51a4038,5.509855129979605,8.527182411084448,-0.9281643583573469, p__Actinobacteria
118738f79aba765a8be35e372201b90b,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Bacteroidetes
119cdc2ca708270a3ede6e1aa61fcea2,4.9335489324172785,-1.4393671133211468,11.558660588794636, p__Actinobacteria
11a884c69184273176f28ae861765f9e,-10.270096043107074,-0.8600751068262857,1.5770721395224818, p__Proteobacteria
11afade90e32b1db63e7d4ecbfa70147,-2.9165725624040464,1.2662825267537263,-1.5490620729922702, p__Planctomycetes
11c039c6796162bd3663716f4f54fb5f,-2.1803213935385584,3.2901431351838197,3.9543914974155525, p__Acidobacteria
11cdd2cf50fc9a30060c6850baebaace,-8.650410970506924,-3.397987678662309,-0.005938321914644329, p__Actinobacteria
11df8b0125237476a69d2e0d7babed90,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Firmicutes
11e5a177deb3f6025d666c23feadeaa6,7.287255852423223,6.0148505581905924,4.571144298236685, p__Actinobacteria
11f08315e25731a5a3006c9be456d707,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Chloroflexi
12642e6aaa8986e8500a302e87b3aa0f,4.775113058868826,0.9212286444734508,7.813223264652642, p__Proteobacteria
12655d6d6121fc8c5010d1297e1543af,-9.054725093339307,-1.8664731524566087,-1.1654466988656211, p__Proteobacteria
1294db40f864f9b09a39248aa45aa3bc,-2.9165725624040464,1.2662825267537263,-1.5490620729922702, p__Actinobacteria
1297a7ead839a42a1d7f4d107e2ab868,-5.78284899598734,-4.888409261677706,6.576187914368382, p__Planctomycetes
12a25bbf01f0171590d64344bfcfc97f,-10.424011788778436,-7.112736822204242,-0.05354457444996058, p__Gemmatimonadetes
12a25d3c598b404c84d1395f6423f4bd,0.7050720642417904,19.543294272522573,-5.480422992589403, p__Chloroflexi
